Row Type,Action,Campaign status,Customer ID,Campaign ID,Campaign,Campaign type,Networks,Budget,Delivery method,Budget type,Bid strategy type,Bid strategy,Campaign start date,Campaign end date,Language,Location,Exclusion,Devices,Label,Target CPA,Target ROAS,Display URL option,Website description,Target Impression Share,Max CPC Bid Limit for Target IS,Location Goal for Target IS,Tracking template,Final URL suffix,Custom parameter,Inventory type,Campaign subtype,Video ad formats,EU political ads
Campaign,Add,Enabled,407-193-7268,,Atlas Rouge - FR-France,Search,Google search; Search partners,15.00,Standard,Daily,Maximize clicks,,,,fr,France,,,,,,,,,,,,,,,,,No
Campaign,Add,Enabled,407-193-7268,,Atlas Rouge - FR-Diaspora,Search,Google search; Search partners,9.00,Standard,Daily,Maximize clicks,,,,fr,Belgium; Spain; Italy; Netherlands; Switzerland,,,,,,,,,,,,,,,,,No
Campaign,Add,Enabled,407-193-7268,,Atlas Rouge - Maroc,Search,Google search; Search partners,6.00,Standard,Daily,Maximize clicks,,,,fr,Morocco,,,,,,,,,,,,,,,,,No
